,support_0
111975006,139
164873001,137
164909002,23
195042002,3
251120003,9
266249003,7
270492004,77
425419005,45
425623009,90
426434006,28
428750005,172
445118002,18
445211001,2
67741000119109,87
698252002,20
713426002,41
713427006,3
89792004,8
