labels,auc
111975006,0.4611462673475142
164873001,0.47867907493575945
164909002,0.4946776611694153
195042002,0.4946488294314381
251120003,0.583756345177665
266249003,0.424457429048414
270492004,0.5075614366729679
425419005,0.4296181172291297
425623009,0.4778432011735463
426434006,0.47653673163418303
428750005,0.5095375873896991
445118002,0.4757772572402045
445211001,0.4678929765886288
67741000119109,0.46635773864689534
698252002,0.5307266435986159
713426002,0.3768472906403941
713427006,0.5038888888888888
89792004,0.7353433835845895
